filename,exchange,ticker,instrument,resolution,start_date,end_date,n_rows,years
NYSE_BAC_1H_20230512_20260324.csv,NYSE,BAC,NYSE_BAC,1H,2023-05-12,2026-03-24,5000,2.9
NYSE_BAC_1W_19720403_20260323.csv,NYSE,BAC,NYSE_BAC,1W,1972-04-03,2026-03-23,2817,54.0
NYSE_BAC_4H_20160331_20260324.csv,NYSE,BAC,NYSE_BAC,4H,2016-03-31,2026-03-24,5000,10.0
NYSE_CVX_1D_20060509_20260324.csv,NYSE,CVX,NYSE_CVX,1D,2006-05-09,2026-03-24,5000,19.9
NYSE_CVX_1H_20230512_20260324.csv,NYSE,CVX,NYSE_CVX,1H,2023-05-12,2026-03-24,5000,2.9
NYSE_CVX_1W_19680101_20260323.csv,NYSE,CVX,NYSE_CVX,1W,1968-01-01,2026-03-23,3039,58.2
NYSE_CVX_4H_20160331_20260324.csv,NYSE,CVX,NYSE_CVX,4H,2016-03-31,2026-03-24,5000,10.0
NYSE_DIS_1D_20060509_20260324.csv,NYSE,DIS,NYSE_DIS,1D,2006-05-09,2026-03-24,5000,19.9
NYSE_DIS_1H_20230512_20260324.csv,NYSE,DIS,NYSE_DIS,1H,2023-05-12,2026-03-24,5000,2.9
NYSE_DIS_1W_19680101_20260323.csv,NYSE,DIS,NYSE_DIS,1W,1968-01-01,2026-03-23,3039,58.2
NYSE_DIS_4H_20160401_20260324.csv,NYSE,DIS,NYSE_DIS,4H,2016-04-01,2026-03-24,5000,10.0
NYSE_HD_1D_20060509_20260324.csv,NYSE,HD,NYSE_HD,1D,2006-05-09,2026-03-24,5000,19.9
NYSE_HD_1H_20230512_20260324.csv,NYSE,HD,NYSE_HD,1H,2023-05-12,2026-03-24,5000,2.9
NYSE_HD_1W_19810921_20260323.csv,NYSE,HD,NYSE_HD,1W,1981-09-21,2026-03-23,2323,44.5
NYSE_HD_4H_20160331_20260324.csv,NYSE,HD,NYSE_HD,4H,2016-03-31,2026-03-24,5000,10.0
NYSE_JNJ_1D_20060509_20260324.csv,NYSE,JNJ,NYSE_JNJ,1D,2006-05-09,2026-03-24,5000,19.9
NYSE_JNJ_1H_20230512_20260324.csv,NYSE,JNJ,NYSE_JNJ,1H,2023-05-12,2026-03-24,5000,2.9
NYSE_JNJ_1W_19680101_20260323.csv,NYSE,JNJ,NYSE_JNJ,1W,1968-01-01,2026-03-23,3039,58.2
NYSE_JNJ_4H_20160331_20260324.csv,NYSE,JNJ,NYSE_JNJ,4H,2016-03-31,2026-03-24,5000,10.0
NYSE_JPM_1D_20060509_20260324.csv,NYSE,JPM,NYSE_JPM,1D,2006-05-09,2026-03-24,5000,19.9
NYSE_JPM_1H_20230512_20260324.csv,NYSE,JPM,NYSE_JPM,1H,2023-05-12,2026-03-24,5000,2.9
NYSE_JPM_1W_19690303_20260323.csv,NYSE,JPM,NYSE_JPM,1W,1969-03-03,2026-03-23,2978,57.1
NYSE_JPM_4H_20160331_20260324.csv,NYSE,JPM,NYSE_JPM,4H,2016-03-31,2026-03-24,5000,10.0
NYSE_KO_1D_20060509_20260324.csv,NYSE,KO,NYSE_KO,1D,2006-05-09,2026-03-24,5000,19.9
NYSE_KO_1H_20230512_20260324.csv,NYSE,KO,NYSE_KO,1H,2023-05-12,2026-03-24,5000,2.9
NYSE_KO_1W_19620101_20260323.csv,NYSE,KO,NYSE_KO,1W,1962-01-01,2026-03-23,3352,64.2
NYSE_KO_4H_20160331_20260324.csv,NYSE,KO,NYSE_KO,4H,2016-03-31,2026-03-24,5000,10.0
NYSE_MRK_1D_20060509_20260324.csv,NYSE,MRK,NYSE_MRK,1D,2006-05-09,2026-03-24,5000,19.9
NYSE_MRK_1H_20230512_20260324.csv,NYSE,MRK,NYSE_MRK,1H,2023-05-12,2026-03-24,5000,2.9
NYSE_MRK_1W_19691229_20260323.csv,NYSE,MRK,NYSE_MRK,1W,1969-12-29,2026-03-23,2935,56.2
NYSE_MRK_4H_20160330_20260324.csv,NYSE,MRK,NYSE_MRK,4H,2016-03-30,2026-03-24,5000,10.0
NYSE_PFE_1D_20060509_20260324.csv,NYSE,PFE,NYSE_PFE,1D,2006-05-09,2026-03-24,5000,19.9
NYSE_PFE_1H_20230512_20260324.csv,NYSE,PFE,NYSE_PFE,1H,2023-05-12,2026-03-24,5000,2.9
NYSE_PFE_1W_19680101_20260323.csv,NYSE,PFE,NYSE_PFE,1W,1968-01-01,2026-03-23,3039,58.2
